id	game_id	value	daily_double	round	category	clue	response
10412	185	200	f	J!	RAINY DAY P.E.	I'm so good at catching the rubber ball in this game that all my teammates are getting back in	dodgeball
10413	185	200	f	J!	ALL ABOUT GERMANY	"The name of Germany in German is this ""land"""	Deutsch
10414	185	200	f	J!	INTERJECTIONS	A 2-letter interjection of mild surprise, or what a tongue-depressor-wielding doctor tells you to say	ah
10415	185	200	f	J!	FICTIONAL PLACES	Princess Ozma lives in this capital city of Oz	Emerald City
10416	185	200	f	J!	LAYING DOWN SOME R&B & HIP-HOP VOCALS	"He crooned, ""'Cause you're a good girl & you know it, you act so different around me"""	Drake
10417	185	200	f	J!	CHECK ONE TWO	"Proverbially, ""a bird in the hand is worth 2 in"" here"	the bush
10418	185	400	f	J!	RAINY DAY P.E.	In half-court basketball, you do this to start the game, pass the ball to the defender who passes it back to you	checking
10419	185	400	f	J!	ALL ABOUT GERMANY	The North Sea is on the northwest coast; this sea is on the northeast coast	the Baltic
10420	185	400	f	J!	INTERJECTIONS	"Address to a ""little baby"", this 4-letter interjection means ""Quiet!"""	hush
10421	185	400	f	J!	FICTIONAL PLACES	Ollivanders Wand Shop & Eeylops Owl Emporium are on this street	Diagon Alley
10422	185	400	f	J!	LAYING DOWN SOME R&B & HIP-HOP VOCALS	"Hip-hoppers liked ""I Like It"", provided by Bad Bunny, J Balvin & this woman who also warned us to ""Be Careful"""	Cardi B
10423	185	400	f	J!	CHECK ONE TWO	This sign of the Zodiac is represented by 2 guys & generally covers May 21 to June 21	Gemini
10424	185	600	f	J!	RAINY DAY P.E.	"Rope climbing today! It looks so easy on the NBC show called this ""warrior"""	American Ninja
10425	185	600	f	J!	ALL ABOUT GERMANY	There are no right angles in the Stuttgart museum of this car company, just bends and Benz	Mercedes
10426	185	600	f	J!	INTERJECTIONS	Often used mockingly, it's 2 rhyming words synonymous with turning on the tears	boo hoo
10427	185	600	f	J!	FICTIONAL PLACES	Aslan created this well-chronicled land by singing	Narnia
10428	185	600	f	J!	LAYING DOWN SOME R&B & HIP-HOP VOCALS	"""Shopping sprees in Paris, everything 24 karats, take a look in that mirror, now tell"" this singer ""who's the fairest"""	Bruno Mars
10429	185	600	f	J!	CHECK ONE TWO	This animal of fable is also called a monoceros	a unicorn
10430	185	800	f	J!	RAINY DAY P.E.	"We have to practice this ""shapely"" dance, because I haven't do-si-doed very much"	square dancing
10431	185	800	f	J!	ALL ABOUT GERMANY	A3 & A5 are 2 of Germany's busiest of these highways	Autobahn
10432	185	800	f	J!	INTERJECTIONS	"From French, it means ""There it is!"""	voilà
10433	185	800	f	J!	FICTIONAL PLACES	"His ""Travels"" include meeting a bunch of Yahoos on the island of the Houyhnhnms"	Gulliver
10434	185	800	f	J!	LAYING DOWN SOME R&B & HIP-HOP VOCALS	"In 2018 ""Pray For Me"" ascended the Billboard chart for The Weeknd & this Pulitzer Prize winner"	Kendrick Lamar
10435	185	800	f	J!	CHECK ONE TWO	"A historical poem states, ""One if by"" this first item, ""and two if by"" this second item, ""and I on the opposite shore will be"""	land and sea
10436	185	1000	f	J!	RAINY DAY P.E.	"Badminton is fun indoors, where you are less likely to lose the ""birdie"", AKA this projectile"	the shuttlecock
10437	185	1000	f	J!	ALL ABOUT GERMANY	This Elbe River city that lent its name to a sandwich has one of Germany's largest immigrant populations	Hamburg
10438	185	1000	f	J!	INTERJECTIONS	It's how the Oxford English Dictionary spells the 4-letter representation of the sound of a kiss	M-W-A-H
10439	185	1000	f	J!	FICTIONAL PLACES	In a 1516 work Sir Thomas More coined this word for an ideal place	utopia
10440	185	1000	f	J!	LAYING DOWN SOME R&B & HIP-HOP VOCALS	"GPS on your phone? Don't put it on silent--""ride the vibrations""--this young man ""don't need nothin' else but you"""	Khalid
10441	185	1000	f	J!	CHECK ONE TWO	The second law of this states that heat naturally flows from a higher to a lower temperature	thermodynamics
10442	185	400	f	DJ!	-OLOGIES	Its name is pretty self-explanatory--it's the study of the Earth	geology
10443	185	400	f	DJ!	'TEENS IN HISTORY	Les bons temps started rouler-ing with the founding of this Southern city by Jean-Baptiste le Moyne de Bienville in 1718	New Orleans
10444	185	400	f	DJ!	THE ARTS	In an opera based on this Grimm fairy tale, the title siblings come upon a house made of gingerbread & start noshing	"""Hansel and Gretel"""
10445	185	400	f	DJ!	13- TO 17-LETTER WORDS	"16 letters: Adjective for a novel based on the author's life, like Sylvia Plath's ""The Bell Jar"""	autobiographical
10446	185	400	f	DJ!	STATE FACTS	The only state that has a non-rectangular flag, it also has a red disk to symbolize the seed of the buckeye tree	Ohio
10447	185	400	f	DJ!	WHATCHA WATCHING?	"I love seeing Genie sing ""Friend Like Me"" in this Broadway show"	Aladdin<
10448	185	800	f	DJ!	-OLOGIES	It's the study of the atmosphere & weather, not of shooting stars	meteorology
10449	185	800	f	DJ!	'TEENS IN HISTORY	This Mongolian took a break from BBQ-ing China in 1218 to take out an empire in what's now Uzbekistan & Turkmenistan	Genghis Khan
10450	185	800	f	DJ!	THE ARTS	Michelangelo was all of 26 when he began working on a giant sculpture of this Biblical figure for the city of Florence	David
10451	185	800	f	DJ!	13- TO 17-LETTER WORDS	13 letters: Adjective for a scream that will make the fluid in your veins coagulate	bloodcurdling
10452	185	800	f	DJ!	STATE FACTS	Here's a fact to gnaw on: In 1969 it became Oregon's official state animal	the beaver
10453	185	800	f	DJ!	WHATCHA WATCHING?	I'm on a boat out of Newport Beach to watch the gray species of these	whales
10454	185	1200	f	DJ!	-OLOGIES	Osteology is the branch of anatomy that deals with these body parts	bones
10455	185	1200	f	DJ!	'TEENS IN HISTORY	"A 1614 truce ended 5 years of war between the settlers of this Virginia ""town"" & Powhatan"	Jamestown
10456	185	1200	f	DJ!	THE ARTS	Modernism in photography includes a 1907 work titled this, the low-class area of a ship near the rudder	Steerage<
10457	185	1200	f	DJ!	13- TO 17-LETTER WORDS	14 letters: This sauce, gluten free & made by Lea & Perrins since 1835	Worcestershire sauce
10458	185	1200	f	DJ!	STATE FACTS	The largest New England state in area, it's the least densely populated east of the Mississippi	Maine
10459	185	1200	f	DJ!	WHATCHA WATCHING?	I'm watching Dak Prescott & Ezekiel Elliot play for this NFL team	the Dallas Cowboys
10460	185	1600	f	DJ!	-OLOGIES	Archaeology is a subfield of this study of human beings' origins & cultures	anthropology
10461	185	1600	f	DJ!	'TEENS IN HISTORY	In 1513 this Spaniard led an expedition to what he'd name Florida, which he first assumed was an island	Ponce de León
10462	185	1600	f	DJ!	THE ARTS	In this ballet, Siegfried is torn between Odette & Odile, who, by tradition, are danced by the same person	Swan Lake<
10463	185	1600	f	DJ!	13- TO 17-LETTER WORDS	13 letters: Means by which assassin Leon Czolgosz was killed	electrocution
10464	185	1600	f	DJ!	STATE FACTS	Though they total almost 400,000 sq. mi., Wyoming, the Dakotas & this larger neighbor each get only one U.S. House seat	Montana
10465	185	1600	f	DJ!	WHATCHA WATCHING?	"I'm watching this troupe's ""Mystere""; I already saw ""Ka"" & ""O"""	Cirque du Soleil
10466	185	2000	f	DJ!	-OLOGIES	There's something fishy in this branch of zoology that deals with the structure & classification of fish	ichthyology
10467	185	2000	f	DJ!	'TEENS IN HISTORY	When the British burned the White House in 1814, she saved a portrait of George Washington that still hangs today	Dolley Madison
10468	185	2000	f	DJ!	THE ARTS	The house where this artist lived & worked from 1639 to 1658 is now a museum in Amsterdam	Rembrandt
10469	185	2000	f	DJ!	13- TO 17-LETTER WORDS	15 letters: One who doesn't eat meat but whose diet includes dairy products	a lactovegetarian
10470	185	2000	f	DJ!	STATE FACTS	Georgia has had 5 capitals, including Milledgeville & this seaport, its first	Savannah
10471	185	2000	f	DJ!	WHATCHA WATCHING?	I'm firing up the Roku to see the Baudelaire orphans deal with this title sequence	A Series of Unfortunate Events<
