id	game_id	value	daily_double	round	category	clue	response
93683	1620	200	f	J!	MUSICAL INSTRUMENTS	In addition to 88 keys, one of these has about 230 strings	a piano
93684	1620	200	f	J!	A HISTORY LESSON	A monarch sometimes known as A-Ha was Egypt's first one of these rulers	a pharaoh
93685	1620	200	f	J!	IT'S MOVIE TIME	Rex Harrison & Eddie Murphy have both played this Doctor who talked to the animals	Doctor Dolittle
93686	1620	200	f	J!	NATURAL DISASTERS	As Noah could tell you, a deluge is another name for one of these	a flood
93687	1620	200	f	J!	BIG STUFF	How about a hand for Nathan Sawaya, who created a big hand out of these toy bricks	Legos
93688	1620	200	f	J!	3 Ses	To jump a fence & illegally enter a person's property	trespass
93689	1620	400	f	J!	MUSICAL INSTRUMENTS	This largest brass instrument is also the one with the lowest pitch	the tuba
93690	1620	400	f	J!	A HISTORY LESSON	Nicholas Gilman, a signer of this historic document, helped get it ratified in his home state of New Hampshire	the Constitution
93691	1620	400	f	J!	IT'S MOVIE TIME	Elliott befriends a homesick alien who loves candy in this classic	E.T.<
93692	1620	400	f	J!	NATURAL DISASTERS	Storms known as cyclones or typhoons in the Pacific are called these when they form in the Atlantic	hurricanes
93693	1620	400	f	J!	BIG STUFF	Some of these Halloween gourds have tipped the scales at a thousand pounds or more	jack o\\'lanterns (or pumpkins)
93694	1620	400	f	J!	3 Ses	To aid, or a play that helps your hockey teammate score a goal	assist
93695	1620	600	f	J!	MUSICAL INSTRUMENTS	Types of these used in a drum set include crash & splash	cymbals
93696	1620	600	f	J!	A HISTORY LESSON	Prussian Field Marshal Gebhard von Blucher helped defeat this French leader at Waterloo in 1815	Napoleon
93697	1620	600	f	J!	IT'S MOVIE TIME	This title chameleon faced a snake & a hawk in the town of Dirt	Rango
93698	1620	600	f	J!	NATURAL DISASTERS	In 79 A.D. one of these destroyed the Roman cities of Pompeii & Herculaneum	a volcanic eruption
93699	1620	600	f	J!	BIG STUFF	In 1934 a giant clam yielded one of these gems weighing more than 14 pounds	a pearl
93700	1620	600	f	J!	3 Ses	To let a classroom of kids go home	dismiss
93701	1620	800	f	J!	MUSICAL INSTRUMENTS	Instead of valves like a trumpet, this brass instrument has a slide with 7 positions	a trombone
93702	1620	800	f	J!	A HISTORY LESSON	The Civil Rights Act & the Watts Riots happened during this decade of hope & tragedy	the \\'60s
